PRED,PETD,CLDD,DTRD,TMPD,TMND,TMXD,VAPD,WETD
3.2,4.2,41.5,10.7,16.5,11.2,21.9,12.7,2.28
9,5.1,34.6,10.3,18.4,13.3,23.6,14.2,4.22
32.6,5.2,36.5,9.8,19.2,14.3,24.1,15.4,6.54
14.1,5.4,32.2,10,20.4,15.4,25.4,16.5,2.91
0.8,5.4,26.6,10.9,21.1,15.7,26.6,17,0.62
4.8,4.1,35,9.8,19.8,14.9,24.7,16.4,1.76
49.7,3.1,44.1,10,18.3,13.3,23.3,14.6,8.77
46.8,2,46.4,9.4,14.4,9.7,19.1,12.1,8.43
315.3,1.3,59.8,7.3,12.4,8.8,16.1,11.6,18.59
79.2,1.7,42.6,9.7,12.1,7.3,17,10.8,10.78
45.2,2.2,46.5,9.5,12.5,7.8,17.3,10.8,7.68
72.4,2.8,47.9,9.1,14.5,10,19.1,12.3,12.01
21.8,4.1,36.9,11,16.1,10.6,21.6,12.7,6.64
10,4.9,34.7,9.7,17.7,12.9,22.6,13.7,3.69
8.7,5.5,32.2,10.4,19.5,14.3,24.7,15,3.35
18.7,5.6,30.3,10.7,20.5,15.2,25.9,16.4,5.31
4.7,5.6,27,11.4,21.6,15.9,27.3,16.9,2.48
15.9,4.2,28.8,10.8,19.8,14.4,25.2,16.2,5.12
24.9,2.9,37.7,10.6,16.6,11.3,21.9,13.4,4.57
77.4,2.2,47,10,15.8,10.8,20.8,13,9.98
135.3,1.6,49,8.5,13.1,8.9,17.4,11.4,12.72
177.4,1.4,49.5,8,11,7,15,10.5,15.7
108,2.2,48.9,8.5,12.7,8.5,17,10.8,13.01
25.8,2.8,49,9,14.3,9.8,18.8,12.1,7.75
83.3,3.2,54,9,14.4,9.9,18.9,12.3,11.81
18.4,4.6,38.3,9.9,17.5,12.6,22.5,14,4.4
66.6,5.1,37.6,9.7,19.1,14.3,24,15.5,11.64
11.7,5.6,27.7,10.1,20.9,15.9,26,16.9,3.2
45.7,5.1,34.2,10.7,20.5,15.2,25.9,16.5,7.31
30.9,4,31.3,10.6,18.5,13.2,23.8,15,5.39
47.8,3.1,46.7,10.9,18.2,12.8,23.7,14.4,7.18
77.9,2.2,48,10.1,15.6,10.6,20.7,12.7,10.45
174.6,1.6,49.5,8.2,13.5,9.4,17.6,11.7,14.09
136.1,1.4,50.5,8.1,11,7,15.1,10.5,14.58
137.6,1.8,48.4,8.3,11.3,7.2,15.5,10.8,14.71
156.3,2.3,58.8,8.2,12.5,8.4,16.6,11.5,16.79
60.8,3.2,53.5,8.8,14.8,10.4,19.2,12.7,11.41
74.2,3.7,42.2,8.3,15.1,11,19.3,13.2,9.55
50.7,4.7,39,9.5,18.3,13.6,23.1,15.3,9.35
21.1,5.3,27.8,10,19.9,14.9,24.9,16.3,4.03
5,4.7,33.6,9.4,19.7,15,24.4,16.5,1.15
16.7,3.8,35.2,10.2,18.5,13.4,23.6,15.4,4.18
58.3,2.6,51.7,9.7,16.1,11.3,21,13.7,8.14
111.1,2,43.2,10,15.1,10.1,20.1,12.7,11.22
178.1,1.3,53.3,7,12.3,8.8,15.8,11.6,16.33
38.2,1.7,43.1,9.2,13.2,8.6,17.8,11.5,6.79
100.2,2,64.8,7.1,13.4,9.9,17,11.7,12.16
11.6,3.3,44.1,10,15.7,10.7,20.7,12.3,3.65
24.4,4.3,47.4,10.9,17.7,12.3,23.2,13.5,5.27
82.2,4.2,40.7,8.6,16.9,12.6,21.2,14.2,9.77
11.6,5.1,40.3,9.7,19.3,14.5,24.2,15.5,3.91
21.5,5.3,30,9.7,19.9,15.1,24.8,16.3,5.6
4.2,5.4,31.1,10.1,22,17,27.1,17.9,1.86
19.9,3.9,38.8,9.8,19.4,14.5,24.3,16.1,3.82
40.6,3,50.3,9.8,18.3,13.4,23.2,14.5,5.97
188.7,1.9,52.2,7.9,15.2,11.3,19.2,13.1,16.18
72.9,1.7,47.6,7.7,13.3,9.5,17.2,11.3,9.35
102.4,1.6,51.3,8.2,12.4,8.3,16.5,11.1,11.62
85,2.4,36.9,9.2,13.5,8.9,18.1,11.1,12.79
40.2,2.8,45.1,9.1,13.7,9.2,18.3,11.4,10.04
24.2,3.9,49,10,15.9,10.9,20.9,12.3,6.85
76.9,4.5,38,9.4,17.1,12.4,21.8,13.7,9.55
42.2,5.2,38.4,9.8,19.5,14.6,24.4,15.6,6.78
6.9,5.7,32.2,10.3,21,15.9,26.2,16.7,1.92
3.1,5.3,33.6,10.5,21.3,16.1,26.6,17,1
4.5,4.7,29,11.4,20.9,15.2,26.6,16.1,1.51
67.6,3.1,45.1,10.2,18.2,13.1,23.3,14.5,7.06
69.9,1.8,46.9,8,15.3,11.3,19.3,13.5,10.41
67,1.9,43.9,9.1,14.6,10.1,19.2,11.8,9.28
83.5,1.8,43.8,8.9,13.5,9.1,18,11.5,11.12
155.9,2.2,54.4,8.4,13.5,9.3,17.7,11.4,15.46
135.5,2.6,50.1,9.1,13,8.5,17.6,11.3,14.23
7.8,4.3,41.6,10.2,17.1,12,22.2,12.8,2.82
27,5.1,32.8,10.2,18.3,13.2,23.4,13.8,6.62
34.9,6,29.5,10.5,20.5,15.3,25.8,15.4,5.34
32,5.1,28.1,10.4,20.1,14.9,25.3,17.4,6.06
7,5.1,30.7,10.6,21,15.7,26.3,17.5,1.2
31.1,3.9,27.6,9.6,19.4,14.6,24.2,17,2.86
16.9,2.8,44.7,10.5,17.2,12,22.5,14.5,4.59
48.2,1.8,49.3,9.1,14.4,9.9,19,13,8.04
70.9,1.7,44.9,8.8,14.4,10,18.8,12.2,8.55
113.5,1.7,48.2,8.7,12.8,8.5,17.2,11.2,12.27
66.9,2.3,45.1,8,14.1,10.1,18.1,11.9,10.62
68.8,2.2,50.8,8.3,13,8.9,17.2,12.6,13.53
6.5,3.9,42.4,10.2,16.2,11.1,21.3,12.9,3.89
9.1,4.5,35.9,9.8,17.8,12.9,22.7,14.9,2.84
8.5,5.1,33.6,9.9,19.1,14.2,24.1,15.7,3.03
10.4,5.2,27.4,10.5,19.7,14.5,25,16.5,2.97
6.5,5.2,32.9,11.4,20.7,15,26.4,16.7,2.14
13.9,4.4,27,11.2,19.8,14.2,25.4,15.6,2.69
60.7,2.5,54.5,9.6,16.9,12.1,21.7,14.9,7.27
111.5,2,45.8,9.5,15.3,10.6,20.1,13.2,14.59
55,1.6,46.3,8.4,13.7,9.5,17.9,12,7.91
315.4,1.4,48.4,8.3,12.2,8.1,16.4,11.8,19.89
117.2,1.6,56.7,7,12.4,8.9,15.9,12.1,13.6
66.6,2,53.1,8.2,12.6,8.5,16.7,12.6,11.33
36,3.7,58.5,8.8,16.9,12.5,21.3,13.6,10.05
40.1,4.7,31.1,9.8,18,13.1,22.9,14.8,7.21
5.8,5.1,31.1,10.2,19,13.9,24.1,15.9,4.48
65.9,4.7,29.4,9.7,19.1,14.3,24,17,7.97
21.3,5.3,32,11.3,20.9,15.3,26.6,16.4,6.03
11.9,4.5,28.8,11.5,20,14.3,25.8,15.8,3.94
36.7,3,54.3,10.6,18.2,12.9,23.5,14.5,8.86
127.9,1.7,55.3,9.3,14.4,9.8,19.1,13,18.07
80.6,1.3,50.7,8.1,12.2,8.2,16.3,11.8,12.27
154.4,1.3,50.4,7.7,11.5,7.7,15.4,11.4,16.14
108.4,2,42.3,8.4,12.5,8.3,16.7,11.3,13.4
45.3,3,45.5,9.2,14.7,10.1,19.3,11.9,8.56
33.7,4.1,43.1,10.8,16.1,10.7,21.5,12.4,7.39
25.8,4.7,29.8,11.3,16.7,11.1,22.4,13.6,5.42
22,5.5,34,10,19.9,14.9,24.9,15.5,4.22
2.7,5.7,26.5,10.2,20.6,15.5,25.7,16.4,0.9
9.9,5.7,26.1,11.1,21.5,16,27.1,16.5,4.22
50.3,4.3,28.2,10.5,19.7,14.5,25,15.8,6.76
15.3,3.3,41.4,9.6,19,14.2,23.8,14.5,4.46
46.1,2.1,38.8,9.1,15.3,10.8,19.9,12.8,7.32
32.8,1.7,50.1,9.8,13,8.1,17.9,10.9,6.61
33.8,1.9,37.2,10.3,12.8,7.7,18,10.7,9.25
160.2,1.5,50.8,8.3,11,6.9,15.2,11.3,18.71
65.8,2.5,48.6,8.5,13.5,9.3,17.8,12.2,9.58
34.9,4,45.8,10,16.5,11.5,21.5,12.7,11.42
6.3,5.1,31.6,10.3,18.2,13.1,23.4,14,0.95
23,5.1,31.4,10.7,18.6,13.3,24,15.2,8.14
10.5,4.3,34.8,9.9,18.2,13.3,23.2,16.7,3.4
1,5.4,29.6,10.3,21.4,16.3,26.6,16.9,0
10.6,4.1,27.3,11.2,18.9,13.3,24.5,15.6,4.58
96.1,3,44.9,9.8,17.9,13,22.8,14.5,14.69
9.8,2.7,36.8,9.8,17.1,12.2,22,12.1,3.24
126.4,1.8,51.8,8.6,14.3,10,18.6,11.7,15.01
75.1,1.6,37.5,9.7,12,7.2,16.9,11,10.7
162.7,2.3,48.2,8.5,13.4,9.2,17.7,11.1,12.6
38,3,34.8,10.2,13.9,8.8,19,11.6,8.1
110.1,4.1,39.4,9.8,16.4,11.5,21.3,12.8,11.46
3.4,5.9,30.1,9.9,19.8,14.9,24.8,13.6,0.95
9.2,5.8,34.7,9.9,20.2,15.3,25.2,15,3.59
34.5,5.6,33.3,9.6,20.8,16,25.6,16.2,5.77
3.5,5.8,27,10.7,21.7,16.4,27.1,16.2,0.99
11.4,4.4,32.7,10.5,19.9,14.7,25.2,15.4,4.58
120.1,2.8,45.8,9.3,17.3,12.7,22,14.2,12.14
85,2,58.6,7.9,15.5,11.6,19.5,12.8,11.3
99.4,1.6,49.9,8.8,12.8,8.4,17.2,11.2,13.58
57,2.3,36.6,10.5,14.2,9,19.5,10.3,5.53
103,2,50.8,8.5,12,7.8,16.3,10.8,13.83
34.3,3.4,38.3,10.4,14.8,9.6,20,11.1,8.73
17.4,4.3,35.9,11.6,15.9,10.1,21.7,11.8,11.12
21.5,5,35.3,10.5,17.9,12.7,23.2,13.5,4.74
1,5.7,22.6,11.1,18.9,13.4,24.5,14.4,0
7,5.8,31.6,9.9,21,16.1,26,16.2,2.01
27,5.4,32.5,10.4,21.3,16.1,26.5,16.4,6.67
5.2,4.2,27,11,18.8,13.3,24.3,15.1,0.94
39.1,2.9,45.3,9.4,17.6,12.9,22.3,14.1,6.99
199.4,1.6,58.6,8,13.8,9.8,17.8,12.7,19.06
55,2,46.1,9.5,14.2,9.5,19,10.9,8.61
86.2,1.9,54.6,8.2,13.3,9.2,17.4,10.9,15.04
96.9,2,51.6,7.7,12.3,8.5,16.2,11,13.4
25.7,3.4,43.1,9.7,15.3,10.5,20.2,11.3,7.29
33.1,4.4,39.3,10.3,16.7,11.6,21.9,12.2,6.21
42.3,5.4,31.6,10.4,18.5,13.3,23.7,13.4,8.04
11,5.4,31.9,10.1,19.1,14.1,24.2,14.8,3.92
0.5,6.3,27.2,10.7,21.4,16.1,26.8,15.6,0
22.5,5.5,28.2,10.7,21,15.7,26.4,15.9,5.77
21.2,4.7,22.7,11.5,19.8,14.1,25.6,14.8,3.56
77.1,3.5,34.6,10.8,18.8,13.4,24.2,13.7,7.92
107.6,2.3,39.3,9.6,15.7,10.9,20.5,12.1,10
158.6,1.7,54.5,8.1,13.5,9.5,17.6,11.4,16.75
193.8,1.8,44,9,12.6,8.1,17.1,10.7,14.65
109,2.2,50.6,8.4,12.8,8.6,17,10.8,16.15
17.7,3.2,41.3,10.1,14.6,9.6,19.7,11.2,4.26
25.1,4.3,37.1,10.3,16.5,11.4,21.7,12.3,6.21
44.6,4.3,40.5,9.5,16.7,12,21.5,13.7,7.57
49.6,5.5,32.4,10,19.5,14.5,24.5,15,7.38
9.1,5.6,33.4,9.2,20.9,16.3,25.5,16.4,2.77
42.6,5.3,32.8,9.8,21.2,16.3,26.1,16.5,8.58
8.1,4.6,26.4,10.6,20.1,14.8,25.4,15.3,1.9
17.2,3.2,37.4,10.9,17.6,12.2,23.1,13.4,5.51
98.9,2.2,55.2,7.6,16.4,12.6,20.2,13,15.26
80.3,1.7,56.6,7.6,13.9,10.1,17.7,11.5,13.58
248.1,1.7,53.7,8,12.8,8.8,16.8,11.1,17.83
121.8,2.4,41.1,9.2,13.2,8.6,17.8,10.6,16.94
60.8,2.3,50.2,9,12.1,7.6,16.6,11.4,10.83
12.5,4.3,34.8,10.5,16,10.8,21.3,12,3.3
57.3,5.1,34.8,9.5,18.2,13.5,23,13.7,7.31
13.6,5.8,31.8,10,20.1,15.1,25.1,15,3.08
1.2,5.7,26.6,10.2,20.3,15.2,25.4,15.8,0
15.4,5.4,31,10.2,21.3,16.2,26.4,16.4,5.32
3.5,4.7,24.8,11.2,20.1,14.5,25.7,15,0.96
38,3.5,49.3,9.7,19.3,14.5,24.2,14,6.02
83.5,2.1,49.1,8.5,15.5,11.3,19.8,12.6,11.42
157.1,1.6,62.3,7,13.9,10.4,17.4,11.8,14.2
95.4,1.8,49.3,8.5,13.2,9,17.5,11,12.06
77.9,2.6,44.6,9.6,13.8,9,18.6,10.5,10.09
66.9,2.9,45.3,9.4,13.7,9,18.4,11.3,13.48
25.7,4.4,36.7,9.9,17,12.1,22,12.4,5.83
25,5,37.1,9.7,18,13.2,22.9,13.7,9.74
5.8,5.6,26.2,10.4,19.1,13.9,24.3,14.7,2.13
6.3,5.6,30.6,10,20.6,15.6,25.6,16.1,2.37
28,5.7,30.7,10.7,21.5,16.2,26.9,16.1,7.01
20.5,4.9,29.6,10.4,21.1,15.9,26.3,15.4,3.05
13,3.3,33.8,10.6,18,12.7,23.3,13.6,4.31
110.3,2.2,52.5,8.1,16,12,20.1,12.8,13.77
95.6,1.8,45.7,9.3,13.5,8.9,18.2,11,10.99
68.4,2.2,38.8,10.1,13.7,8.7,18.8,10.4,8.92
44.2,2.7,41.1,10.2,13.8,8.7,18.9,10.4,9.69
30.8,3.3,42.4,9.7,14.9,10.1,19.8,11.3,7.52
34.1,3.8,43.7,9.6,15.6,10.8,20.4,12.4,10.15
33.2,5,36.4,9.9,17.9,13,22.9,13.6,6.27
26.7,5.4,37,9.2,19.8,15.2,24.4,15.2,3.98
